schema_version,status,failure_class,run_id,scenario_id,experiment_name,experiment_category,allocator,seed,warmup_iterations,measured_repetitions,params_hash,run_timestamp_utc,os_name,os_version,arch,compiler_name,compiler_version,build_type,build_flags,cpu_model,cpu_cores_logical,cpu_cores_physical,phase_duration_ns,repetition_min_ns,repetition_max_ns,repetition_mean_ns,repetition_median_ns,repetition_p95_ns,alloc_ops_total,free_ops_total,bytes_allocated_total,bytes_freed_total,peak_live_count,peak_live_bytes,final_live_count,final_live_bytes,ops_per_sec_mean,throughput_bytes_per_sec_mean,failed_alloc_count,fallback_count,reserved_bytes,overhead_ratio,overhead_ratio_req
summary.v5,"valid","none","run_778_seed0","article1/malloc/random/churn|seed=42|reps=5","article1/malloc/random/churn","article1","malloc",42,3,5,1dd1bc13,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,213054000,213054000,216892600,214801260.000000,213797600,216892600,503652,500000,20167642,20020348,500,21208,0,0,1025641.025641,41300512.820513,0,,,,
summary.v5,"valid","none","run_779_seed0","article1/malloc/long_lived/fixed_small|seed=42|reps=5","article1/malloc/long_lived/fixed_small","article1","malloc",42,3,5,78afcf1b,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,118762800,110168000,132528200,118861280.000000,118762800,132528200,506152,0,16196864,0,101000,3232000,0,0,955474.871011,30575195.872349,0,,,,
summary.v5,"valid","none","run_781_seed0","article1/malloc/long_lived/variable_size|seed=42|reps=5","article1/malloc/long_lived/variable_size","article1","malloc",42,3,5,04d8c858,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,130923500,108658400,131486000,122488920.000000,130642200,131486000,506152,0,131915372,0,101000,26323663,0,0,956205.775483,241353987.378084,0,,,,
summary.v5,"valid","none","run_782_seed0","article1/malloc/long_lived/churn|seed=42|reps=5","article1/malloc/long_lived/churn","article1","malloc",42,3,5,6f4174c5,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,253675400,252113500,382224800,281567260.000000,259470500,382224800,1003652,0,40157407,0,200500,8022095,0,0,865351.332641,34845967.462790,0,,,,
summary.v5,"valid","none","run_784_seed0","article1/monotonic_arena/long_lived/fixed_small|seed=42|reps=5","article1/monotonic_arena/long_lived/fixed_small","article1","monotonic_arena",42,3,5,83a6f558,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,1785300,1785300,2318900,1899820.000000,1801200,2318900,506152,0,16196864,0,101000,3232000,0,0,56012995.014843,1792415840.474990,0,,4040000,1.250000,0.249431
summary.v5,"valid","none","run_784_seed0","article1/monotonic_arena/long_lived/variable_size|seed=42|reps=5","article1/monotonic_arena/long_lived/variable_size","article1","monotonic_arena",42,3,5,27209c5b,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,2082000,1987200,5765000,2978980.000000,2133400,5765000,506152,0,131915372,0,101000,26323663,0,0,50322061.191626,13119592894.524960,0,,32825000,1.246977,0.248834
summary.v5,"valid","none","run_784_seed0","article1/monotonic_arena/long_lived/churn|seed=42|reps=5","article1/monotonic_arena/long_lived/churn","article1","monotonic_arena",42,3,5,5b395e2a,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,3546000,3363400,4813200,3722740.000000,3500400,4813200,1003652,0,40157407,0,200500,8022095,0,0,59463637.985372,2379128560.385324,0,,10025000,1.249674,0.249643
summary.v5,"valid","none","run_784_seed0","article1/pool_allocator/fifo/fixed_small|seed=42|reps=5","article1/pool_allocator/fifo/fixed_small","article1","pool_allocator",42,3,5,a8b0b745,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,2239000,2040500,2239000,2094300.000000,2048100,2239000,255687,250465,8181984,8014880,1000,32000,0,0,49007596.177407,782663072.776280,0,,48384,1.512000,0.005913
summary.v5,"valid","none","run_784_seed0","article1/pool_allocator/lifo/fixed_small|seed=42|reps=5","article1/pool_allocator/lifo/fixed_small","article1","pool_allocator",42,3,5,ef5c4be4,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,2113800,2063600,2113800,2084740.000000,2083600,2113800,255687,250465,8181984,8014880,1000,32000,0,0,48459003.682884,773901918.976546,0,,48384,1.512000,0.005913
summary.v5,"valid","none","run_784_seed0","article1/pool_allocator/random/fixed_small|seed=42|reps=5","article1/pool_allocator/random/fixed_small","article1","pool_allocator",42,3,5,d6aab1b7,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,2251600,2172500,2327600,2234380.000000,2221700,2327600,255687,250465,8181984,8014880,1000,32000,0,0,46029919.447641,735108860.759494,0,,48384,1.512000,0.005913
summary.v5,"valid","none","run_784_seed0","article1/pool_allocator/long_lived/fixed_small|seed=42|reps=5","article1/pool_allocator/long_lived/fixed_small","article1","pool_allocator",42,3,5,38f7d4b1,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,1157900,1157900,1250500,1190020.000000,1175700,1250500,8712,0,278784,0,1512,48384,0,0,86363243.803437,14149753.864755,497440,,48384,1.000000,0.173554
summary.v5,"valid","none","run_784_seed0","article1/segregated_list/fifo/fixed_small|seed=42|reps=5","article1/segregated_list/fifo/fixed_small","article1","segregated_list",42,3,5,edc567a2,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,2394700,2258700,2416500,2329100.000000,2304000,2416500,255687,250465,8181984,8014880,1000,32000,0,0,44273254.526940,707054500.376323,0,0,2064384,64.512000,0.252308
